スポット名,名称カナ,郵便番号,都道府県,市区町村,住所１,住所２,緯度,経度,詳細,営業時間,定休日,駐車場,平均予算,電話番号,URL
日本料理うおかね,,420-0867,静岡県,静岡市葵区馬場町,33,,34.97895391,138.3783158,創業嘉永弐年(1849年)より地元食材を中心に提供しています。特に駿河湾特産の桜海老のかき揚げはそのままで食べれる味と冷めてもサクサクがある絶品。また桜海老を練り込んだ桜海老団子は当店でしか味わえない一品で御土産にも最適。最近人気なのは徳川家康公が好んだ鯛の天婦羅や曜日限定の桜海老と卵の天丼「駿河月見丼」も。,"コース料理（要予約）11:00～21:00　
昼　11:30～14:00（L.O13:30）
夜　17:30～21:00（L.O20:00）
※定食のみL.O19:00",月曜（コース料理を除く）,,,054-252-0394,http://www2.wbs.ne.jp/~uokane/
入船鮨 葵タワー店,いりふねずし あおいたわーてん,420-0852,静岡県,静岡市,葵区紺屋町17-1 地下１階,,34.972754,138.386376,全席禁煙。音楽はJAZZ、足下には荷物入れがある女性に大人気の鮨店です。一品料理もリーズナブルでお洒落なメニューも豊富です。ランチは特にお得で900円から950円で種類も豊富で４品つき。全国共通すし券取扱い店。お気軽にどうぞ！,11:00～22:00,年中無休,,,054-251-9178,http://irifunesushi.net/
入船鮨 南町店,,422-8067,静岡県,静岡市駿河区,南町6-6,,34.9700016,138.3893536,"駅から徒歩3分、リーズナブルな価格で本格江戸前鮨を味わえます。
静岡の繁華街で創業して百年。新鮮なネタを揃える確かな目利きは、大正元年の創業以来変わらない。南店はJRの駅からも近く、平日も休日も立ち寄りやすいのが魅力。ばらちらしは、鮮度抜群の魚介の他、すべて店で手作りされる玉子焼き、かんぴょう、しいたけ、おぼろなどが入り、鮨職人の丁寧な仕事ぶりが伺える一品。
全国共通すし券取扱い店。季節の一品やコース料理あり。宴会、法事又出前も可能。",11:00～22:30,火曜,,,054-282-1158,http://irifunesushi.net/
入船鮨　登呂店,いりふねずし　とろてん,,静岡県,静岡市,駿河区有東2-3-29,,34.9617057,138.4058662,"郊外店らしい家族向けメニューを多数取り揃えております。にぎりもコース料理も明朗会計なので
安心して立ち寄れます。多数個室があり足が楽なテーブル席もあり食事会や法事のお客様に喜ばれています又出前もやっています。
全国共通すし券取扱い店　お気軽にどうぞ！",,,,,054-284-5151,http://irifunesushi.net/
驛前松乃鮨,,,静岡県,静岡市,葵区御幸町9-3,,34.9733678,138.3875564,"静岡駅前にて創業８０年をこえました。静岡の地の魚をメインに、旬の味をお届けしています。
その日に水揚げされたばかりの地魚をご賞味ください。同じ鯵でも味が違います！",,,,,054-251-0123,http://ekimatu.web.fc2.com/
鮨処 やましち,,,静岡県,静岡市,清水区蒲原3-3-10,,35.1189907,138.6057587,"鮨店ですが、すしはもちろん、地元の食材をたいせつにいろいろランチメニューでお楽しみいただけるよう工夫しています。桜えびのやきそば、いわしカレー、地元のフルーツを使った簡単デザートなども人気があります。
※写真付き5か国語メニューあります。JR東海道本線 蒲原駅から徒歩3分",11:30～21:00,火曜,あり,,054-388-2339,http://www.sushi-yamashiti.com
魚匠 ととや,,420-0858,静岡県,静岡市葵区,伝馬町8-9久保田ビル,,34.9749509,138.3879563,地魚とマグロをメインに、とびきり新鮮な刺身や、充実した内容のコース料理が好評の店。1階から5階まで、カウンター、テーブル、個室、座敷といろいろな席が用意され、フロアの貸切や予約も可能。酒は満寿一を基本に各種あり、迷ったら利き酒師と焼酎アドバイザーの資格を持つ店長におすすめを聞いてみて。その日仕入れた魚で作るコース料理は5000円と8000円、スッポンコースも常時楽しめる。1日1組限定、個室を貸切で使える「ランチ懐石」3150円も人気。,11:30～14:00（L.O.)､17:45～22:30(L.O.22:00),日曜（月曜が祝日の場合は営業、月曜休）,,,054-274-0077,http://shizuoka.womo.jp/gourmet/shop/index/ID/94
入船鮨　両替町店,いりふねずし　りょうがえちょうてん,420-0032,静岡県,静岡市葵区,両替町2-7-10,,34.9728151,138.3839123,"大正元年から続く老舗でありながら、新鮮なネタを良心的な価格で提供してくれる『入船鮨』。料金が全て明記されているから、カウンター席初心者でも安心。握りはもちろん、フォアグラやフカヒレといった珍しい品も充実しているのでぜひ味わってみて。コースは3,885円～10,500円まで多種用意されているうえ、法事なら20名以上で無料の送迎バスも有。ランチメニューも945円で常時12種類ご用意。お昼にちょっと贅沢な時間を過ごしてみては。",11:00～翌1:30,無休,,,054-254-1158,http://shizuoka.womo.jp/gourmet/shop/index/ID/20
浜のかきあげや,,421-3103,静岡県,静岡市清水区,由比,由比漁港内,35.097252,138.552711,由比港にいつ行っても行列ができている一角がある。由比港漁協直営の食堂で、皆のお目当てはできたての桜えびのかき揚げ。あつあつサクサクを丼やそばと合わせて楽しめる。,10:00～15:00,3月下旬～6月上旬の月曜、祝日の翌日が休み。それ以外は金・土・日曜のみ営業,,,054-376-0001,http://shizuoka.womo.jp/gourmet/shop/index/ID/458
のっけ家 清水店,,424-0823,静岡県,静岡市清水区,島崎町149河岸の市内,,35.0190681,138.4889914,港直送のマグロは鮮度抜群。キハダマグロ、ビンチョウマグロにイカソーメン、ネギトロとネタは通常のどんぶりの2倍で、活きのいい魚を腹いっぱい食べられるのは水産会社が経営しているから。さしみをより美味しく食べられるようにと開発された特製醤油も見逃せない。お店一番人気のネギトロが添えられているのもうれしい。,9:30～17:30,水曜（祝日の場合は営業、振替休あり）,,,054-355-5077,http://shizuoka.womo.jp/gourmet/shop/index/ID/328
